ticker
AADI
AALI
ACES
ACRO
ACST
ADMR
ADRO
AEGS
AGAR
AGRO
AGRS
AHAP
AISA
AKPI
AKRA
AKSI
AMMN
AMRT
ANDI
ANTM
APEX
APII
APLN
ARCI
AREA
ARII
ARKO
ARNA
ARTO
ASHA
ASII
ASLC
ASLI
ASMI
ASPI
ASPR
ASRI
ASSA
AUTO
AVIA
AWAN
AYAM
AYLS
BACH
BAIK
BAJA
BANK
BAPA
BAPI
BAUT
BBCA
BBKP
BBNI
BBRI
BBRM
BBSS
BBTN
BBYB
BCIP
BDKR
BEEF
BEER
BEKS
BELL
BEST
BFIN
BGTG
BHIT
BIKE
BIPI
BIPP
BJBR
BJTM
BKDP
BKSL
BKSW
BLES
BLTA
BMBL
BMRI
BMTR
BNBA
BNBR
BNGA
BOAT
BPTR
BREN
BRIS
BRMS
BRPT
BRRC
BSDE
BSML
BSSR
BTEK
BTPS
BUKA
BULL
BUMI
BUVA
BVIC
BWPT
BYAN
CAMP
CARE
CARS
CBDK
CBRE
CCSI
CDIA
CENT
CGAS
CHEM
CLEO
CMNT
CMRY
CNMA
COCO
COIN
CPIN
CRSN
CSMI
CTRA
CTTH
CUAN
CYBR
DART
DEFI
DEWA
DEWI
DFAM
DGNS
DGWG
DILD
DIVA
DKFT
DKHH
DMAS
DMMX
DOID
DOOH
DPUM
DSFI
DSNG
DSSA
DWGL
DYAN
EAST
ECII
EKAD
ELIT
ELPI
ELSA
ELTY
EMAS
EMDE
EMMI
EMTK
ENRG
ENZO
ERAA
ERAL
ERTX
ESIP
ESSA
ESTA
ESTI
EXCL
FAST
FILM
FIRE
FITT
FLMC
FOLK
FORE
FPNI
FUJI
FUTR
FWCT
GDST
GEMA
GIAA
GJTL
GMFI
GOLF
GOTO
GPRA
GPSO
GRIA
GRPH
GRPM
GSMF
GTSI
GULA
GWSA
GZCO
HADE
HAJJ
HALO
HATM
HEAL
HELI
HMSP
HOKI
HOPE
HRME
HRTA
HRUM
HUMI
HYGN
IATA
IBOS
ICBP
ICON
IDEA
IKAI
IKAN
IMJS
IMPC
INAI
INCO
INDF
INDO
INDY
INET
INKP
INOV
INPC
INTD
INTP
IOTF
IPCM
IPOL
IPTV
IRSX
ISAP
ISAT
ISEA
ISSP
JARR
JAST
JATI
JAWA
JAYA
JECX
JELI
JGLE
JKON
JPFA
KAQI
KBAG
KBLV
KDTN
KEEN
KETR
KICI
KIJA
KING
KIOS
KJEN
KKES
KKGI
KLAS
KLBF
KOBX
KOCI
KOKA
KOTA
KPIG
KRAS
KREN
KRYA
KUAS
LABA
LAJU
LAND
LAPD
LEAD
LMPI
LOPI
LPCK
LPKR
LPPF
LSIP
LUCK
LUCY
MAHA
MANG
MAPA
MAPI
MARK
MAYA
MBMA
MBTO
MCAS
MCOR
MDIA
MDKA
MEDC
MEDS
MEJA
MGLV
MGNA
MGRO
MIDI
MINA
MIRA
MITI
MKAP
MLPL
MLPT
MMIX
MNCN
MOLI
MPIX
MPMX
MPOW
MPPA
MPXL
MSIE
MSIN
MSJA
MSKY
MSTI
MTEL
MUTU
MYOR
NAIK
NANO
NASI
NATO
NAYZ
NCKL
NEST
NICE
NICL
NIKL
NINE
NISP
NOBU
NPGF
NRCA
NSSS
NTBK
NZIA
OASA
OILS
OKAS
OLIV
OMED
OPMS
PACK
PADA
PADI
PAMG
PANI
PART
PBRX
PBSA
PCAR
PEGE
PGAS
PGEO
PGLI
PIPA
PJHB
PKPK
PLAN
PMJS
PMUI
PNBN
PNLF
POLA
POWR
PPRE
PPRI
PPRO
PRDL
PSAB
PSDN
PSKT
PTBA
PTMP
PTPP
PTPS
PTRO
PTSN
PURA
PURI
PWON
PYFA
RAAM
RAJA
RANS
RATU
RBMS
RELF
RGAS
RICY
RISE
RMKE
RMKO
RODA
RSCH
RUNS
SAGE
SAPX
SATU
SBMA
SCMA
SDMU
SEMA
SGER
SICO
SIDO
SIMP
SINI
SLIS
SMBR
SMDR
SMGA
SMGR
SMIL
SMKM
SMLE
SMMT
SMRA
SNLK
SOCI
SOFA
SOLA
SPRE
SQMI
SRSN
SRTG
SSIA
SSMS
STAA
STRK
SUPA
SURI
SWID
TAMU
TAPG
TARA
TAXI
TCPI
TEBE
TFAS
TGUK
TINS
TKIM
TLKM
TMAS
TMPO
TOBA
TOOL
TOSK
TOTL
TOWR
TPIA
TRIN
TRIS
TRJA
TRON
TRUE
TUGU
UDNG
ULTJ
UNIQ
UNSP
UNTD
UNTR
UNVR
UVCR
VAST
VERN
VICI
VISI
VIVA
VKTR
VTNY
WAPO
WBSA
WEHA
WGSH
WIDI
WIFI
WIIM
WINE
WINR
WINS
WIRG
WMPP
WOOD
WOWS
WTON
YELO
YOII
ZATA
